    307 104.161.79.194,104.161.79,28
    282 104.161.79.199,104.161.79,28
    281 104.161.79.201,104.161.79,28
    262 104.161.79.202,104.161.79,28
    302 104.161.79.206,104.161.79,28
    320 104.161.79.208,104.161.79,28
    316 104.161.79.213,104.161.79,28
    321 104.161.79.216,104.161.79,28
    304 104.161.79.22,104.161.79,28
    328 104.161.79.223,104.161.79,28
    285 104.161.79.225,104.161.79,28
    313 104.161.79.227,104.161.79,28
    301 104.168.43.149,104.168.43,1
    295 104.192.6.141,104.192.6,1
    307 104.196.19.186,104.196.19,1
    295 104.196.5.175,104.196.5,1
    290 104.197.128.65,104.197.128,1
    306 104.197.163.151,104.197.163,1
    298 104.197.171.139,104.197.171,1
    303 104.197.45.62,104.197.45,1
    291 104.198.143.212,104.198.143,1
    290 104.198.221.48,104.198.221,1
    304 104.207.133.190,104.207.133,2
    315 104.207.133.247,104.207.133,2
    324 104.219.41.220,104.219.41,1
    291 104.219.42.118,104.219.42,2
    315 104.219.42.30,104.219.42,2
    319 104.237.136.189,104.237.136,1
    276 104.238.131.166,104.238.131,1
    313 104.244.76.128,104.244.76,1
    282 104.248.120.135,104.248.120,1
    278 104.248.122.139,104.248.122,1
    350 104.248.133.154,104.248.133,1
    313 104.248.135.138,104.248.135,1
    299 104.248.139.159,104.248.139,1
    306 104.248.141.180,104.248.141,1
    315 104.248.14.173,104.248.14,1
    289 104.248.165.249,104.248.165,1
    311 104.248.169.118,104.248.169,2
    302 104.248.169.162,104.248.169,2
    289 104.248.202.75,104.248.202,1
    305 104.248.206.231,104.248.206,1
    288 104.248.215.31,104.248.215,1
    274 104.248.230.110,104.248.230,1
    305 104.248.23.154,104.248.23,1
    309 104.248.236.210,104.248.236,1
    333 104.248.237.61,104.248.237,1
    315 104.248.238.62,104.248.238,1
    290 104.248.239.147,104.248.239,1
    313 104.248.243.251,104.248.243,1
    309 104.248.244.84,104.248.244,1
    295 104.248.246.7,104.248.246,1
    291 104.248.255.154,104.248.255,1
    310 104.248.27.221,104.248.27,1
    305 104.248.33.24,104.248.33,1
    288 104.248.39.57,104.248.39,1
    288 104.248.50.97,104.248.50,1
    297 104.248.53.35,104.248.53,1
    337 104.248.55.155,104.248.55,1
    291 104.248.65.246,104.248.65,1
    328 104.248.66.134,104.248.66,1
    325 104.248.74.233,104.248.74,1
    326 104.248.76.113,104.248.76,2
    327 104.248.76.96,104.248.76,2
