   1549 82.165.121,5
   1548 81.4.109,5
   1547 154.81.2,6
   1547 116.203.17,5
   1544 54.243.71,5
   1542 51.195.136,6
   1538 51.91.126,5
   1534 49.12.0,5
   1532 51.75.78,5
   1532 195.201.43,5
   1525 178.32.106,7
   1523 15.222.66,5
   1522 51.178.86,5
   1514 159.69.154,6
   1513 217.160.64,5
   1509 3.132.176,6
   1507 81.4.102,6
   1506 95.216.218,6
   1506 15.222.50,5
   1500 136.243.231,5
   1487 164.68.101,5
   1456 185.52.1,5
   1296 217.160.58,4
   1281 52.60.100,4
   1281 149.56.80,4
   1279 217.160.43,4
   1276 192.99.79,4
   1272 66.70.206,4
   1272 107.191.111,4
   1271 159.69.194,4
   1270 15.222.68,5
   1269 159.69.109,4
   1266 99.79.181,5
   1266 192.99.54,4
   1265 51.91.101,4
   1263 144.217.31,4
   1261 99.79.90,4
   1261 99.79.174,4
   1259 159.69.201,4
   1257 99.79.171,4
   1257 79.137.81,5
   1253 82.165.115,6
   1253 158.69.235,4
   1252 66.70.144,4
   1252 52.60.105,4
   1252 149.56.6,4
   1237 78.47.115,4
   1237 199.19.224,4
   1237 157.230.109,4
   1234 99.79.157,4
   1229 192.95.62,4
   1227 15.222.56,6
   1225 116.202.108,4
   1224 95.217.211,4
   1222 15.222.19,5
   1222 116.203.158,4
   1221 142.4.192,4
   1219 99.79.167,5
   1219 95.216.204,4
   1218 192.99.248,4
   1216 152.32.140,4
   1215 99.79.186,5
   1215 52.60.114,4
   1213 15.222.57,5
   1213 106.13.203,6
   1212 87.106.194,4
   1212 35.183.221,4
   1209 51.91.125,4
   1207 15.222.55,4
   1205 99.79.132,4
   1205 51.38.128,4
   1204 91.134.187,4
   1203 35.183.194,4
   1202 99.79.188,5
   1199 94.130.176,5
   1199 47.241.56,4
   1197 195.201.42,5
   1196 99.79.182,4
   1193 95.216.175,4
   1192 152.32.201,4
   1191 217.160.60,5
   1189 51.89.164,4
   1188 178.128.66,4
   1188 116.203.216,4
   1184 142.44.185,4
   1183 67.207.94,4
   1182 99.79.187,4
   1182 95.216.202,5
   1181 217.76.158,4
   1179 134.209.203,5
   1178 198.50.237,4
   1177 99.79.139,4
   1170 51.178.41,4
   1164 15.222.51,6
   1153 185.52.0,5
   1153 168.235.88,4
   1146 15.222.47,4
   1146 116.203.132,4
   1141 95.216.220,4
   1050 107.191.104,3
    996 217.182.25,3
    989 77.68.27,3
    987 81.4.103,3
    987 155.138.232,3
    978 162.255.85,3
    975 99.79.183,3
