      1 3.132.235.47,3.132.235,1
      5 3.132.25.131,3.132.25,1
     30 3.13.225.160,3.13.225,1
      4 3.132.28.130,3.132.28,1
      5 3.132.32.120,3.132.32,1
      3 3.132.35.13,3.132.35,2
      4 3.132.35.48,3.132.35,2
      4 3.132.45.62,3.132.45,1
     40 3.13.24.56,3.13.24,1
      4 3.132.50.205,3.132.50,1
      6 3.132.57.128,3.132.57,1
      7 3.132.59.93,3.132.59,1
      4 3.132.61.16,3.132.61,1
      3 3.132.75.184,3.132.75,1
      4 3.132.77.106,3.132.77,1
      1 3.132.78.201,3.132.78,2
      2 3.132.78.99,3.132.78,2
      1 3.132.80.253,3.132.80,1
     47 3.13.28.173,3.13.28,1
      1 3.132.8.2,3.132.8,1
      2 3.132.84.195,3.132.84,1
      7 3.132.85.55,3.132.85,1
      1 3.132.91.15,3.132.91,1
      2 3.132.94.15,3.132.94,1
      3 3.132.95.153,3.132.95,1
     32 3.133.142.155,3.133.142,1
     24 3.133.143.172,3.133.143,1
     17 3.133.14.43,3.133.14,1
     10 3.133.160.214,3.133.160,2
     13 3.133.160.82,3.133.160,2
     21 3.133.162.126,3.133.162,1
     19 3.133.198.113,3.133.198,1
     19 3.133.209.70,3.133.209,1
     15 3.133.217.151,3.133.217,1
     18 3.133.218.92,3.133.218,1
     11 3.133.23.72,3.133.23,1
     29 3.133.240.98,3.133.240,1
     28 3.133.242.168,3.133.242,1
     20 3.133.246.72,3.133.246,1
     29 3.133.253.159,3.133.253,1
     29 3.133.255.143,3.133.255,1
     24 3.133.31.10,3.133.31,1
     20 3.133.69.166,3.133.69,1
     31 3.133.75.110,3.133.75,1
     16 3.133.78.7,3.133.78,1
     17 3.133.89.164,3.133.89,1
     15 3.134.1.209,3.134.1,1
      2 3.134.132.1,3.134.132,2
      3 3.134.132.165,3.134.132,2
     14 3.134.155.60,3.134.155,1
      7 3.134.157.243,3.134.157,2
      6 3.134.157.253,3.134.157,2
     14 3.134.166.98,3.134.166,1
     16 3.134.180.141,3.134.180,1
     10 3.134.18.141,3.134.18,1
     15 3.134.183.132,3.134.183,1
     18 3.134.191.104,3.134.191,1
      4 3.134.195.183,3.134.195,2
     11 3.134.195.38,3.134.195,2
