    292 159.203.11,1
    292 157.245.126,1
    292 144.91.92,1
    292 116.203.146,8
    292 104.219.41,1
    291 91.134.196,1
    291 91.134.145,1
    291 82.165.61,1
    291 74.208.94,3
    291 54.77.63,1
    291 52.211.48,1
    291 52.205.153,1
    291 52.18.215,1
    291 51.91.156,1
    291 46.51.207,1
    291 44.227.152,1
    291 44.225.152,1
    291 3.80.252,1
    291 37.187.17,1
    291 35.182.53,1
    291 35.155.229,1
    291 34.82.123,1
    291 34.253.98,1
    291 34.248.200,1
    291 34.247.36,1
    291 34.223.175,1
    291 3.232.5,1
    291 3.132.78,2
    291 3.130.126,1
    291 209.141.53,2
    291 199.247.3,1
    291 185.177.92,3
    291 18.207.77,1
    291 18.207.138,1
    291 144.91.99,1
    291 144.202.99,1
    290 95.217.153,1
    290 91.241.32,1
    290 8.210.7,1
    290 8.209.240,1
    290 54.144.216,1
    290 52.9.150,1
    290 52.72.150,1
    290 52.53.61,1
    290 52.215.75,1
    290 52.213.71,1
    290 51.89.164,4
    290 51.15.56,1
    290 44.227.216,1
    290 44.226.182,1
    290 44.225.67,1
    290 44.224.167,1
    290 3.96.76,1
    290 35.182.84,2
    290 34.83.231,1
    290 34.246.116,1
    290 3.216.132,1
    290 3.134.39,1
    290 185.232.19,256
    290 185.177.93,1
    290 18.222.235,1
    290 167.71.82,1
    290 167.172.138,1
    290 165.227.3,1
    290 147.135.239,1
    290 142.44.224,32
    290 142.44.185,4
    290 138.197.73,1
    290 134.209.229,2
    289 99.81.128,2
    289 99.79.143,3
    289 95.216.141,1
    289 82.165.121,5
    289 74.208.19,3
    289 54.171.24,1
    289 52.60.36,1
    289 52.60.181,2
    289 52.60.152,3
    289 52.52.103,1
    289 52.49.183,1
    289 51.68.188,2
    289 49.12.41,1
    289 45.76.142,1
    289 45.134.159,256
    289 44.228.95,1
    289 44.227.150,1
    289 44.226.139,1
    289 44.226.116,1
    289 44.225.175,2
    289 35.238.33,1
    289 35.182.99,2
    289 34.82.139,1
    289 34.254.20,1
    289 34.243.22,1
    289 34.198.85,1
    289 3.214.102,1
